XDR,YEA,CO2_1,CO2_2,CO2_3,CH4_1,CH4_2,CH4_3,N2O_1,N2O_2,N2O_3
2.0%,2020,28.3918,185.0196,492.4692,-500.6087,1938.9862,6054.0134,6963.5219,54820.1057,147600.6738
2.0%,2030,38.8429,226.0831,615.131,-265.4838,2915.5287,8710.1714,10281.2399,68853.4807,183232.2298
2.0%,2040,48.3607,262.6569,685.284,169.8192,4067.0311,11009.1259,12852.3105,82072.1299,214222.5121
2.0%,2050,62.6003,329.2864,804.0792,452.6847,5447.3496,14488.3238,17459.0199,99665.2886,259176.1051
2.0%,2060,66.9002,367.8003,983.7336,864.6706,7078.7835,19601.9901,20965.4276,120205.2655,333385.0103
2.0%,2070,71.8694,422.7845,1240.5531,1026.3209,8743.196,25527.248200000002,23524.1526,140886.9326,403979.7267
2.0%,2080,74.3681,481.5474,1486.2672,1473.6132,10519.0728,31954.091,25594.2286,162437.1919,482447.1236
2.0%,2090,78.8795,565.8208,1778.9252,1622.8663,13135.7521,42942.7525,25441.2636,190611.067,595295.7618
2.0%,2100,83.9985,663.4317,2300.9122,1769.2712,15871.92,58596.3507,28155.221,225540.3057,771745.7574
3.0%,2020,5.0294,79.6559,249.0165,-594.5652,1315.9051,4397.3952,908.5441,26790.6545,82274.5243
3.0%,2030,10.1686,104.4177,311.29880000000003,-397.919,2118.1458,6654.6694,2617.8594,35829.5341,107249.4319
3.0%,2040,17.0295,127.6314,364.8453,-37.8149,3081.4429,8541.5468,4615.3143,44530.3039,130406.5029
3.0%,2050,25.4688,176.0017,436.3868,221.9782,4229.793,11267.3263,8169.13,55844.649,152549.1493
3.0%,2060,30.7921,196.5179,544.351,608.8997,5602.5689,15648.036,10640.6402,69632.1133,201591.2857
3.0%,2070,35.943,227.7332,676.1542,787.854,6990.959,20521.0399,12787.669,83503.6279,247015.6933
3.0%,2080,39.6798,266.6746,826.4936,1182.5515,8461.6539,25432.5053,15004.0784,97246.5871,295393.2223
3.0%,2090,45.7365,320.6112,1032.6985,1328.333,10674.5304,34457.8218,15310.4635,117149.4301,362514.2658
3.0%,2100,50.1046,390.8543,1341.6561,1494.1457,13151.2451,47193.7171,17797.4534,142005.0988,482760.309
